2020-01-18 19:09:10,041 p=6079 u=root |  TASK [Evaluate oo_etcd_to_migrate] ****************************************************************************************************
2020-01-18 19:09:10,041 p=6079 u=root |  Saturday 18 January 2020  19:09:10 +0100 (0:00:00.052)       0:00:04.621 ****** 
2020-01-18 19:09:10,115 p=6079 u=root |  ok: [localhost] => (item=m1-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:10,127 p=6079 u=root |  ok: [localhost] => (item=m2-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:10,141 p=6079 u=root |  ok: [localhost] => (item=m3-ocp3.iicparis.fr.ibm.com)
2020-01-18 19:09:10,160 p=6079 u=root |   [WARNING]: Could not match supplied host pattern, ignoring: oo_nfs_to_config

2020-01-18 19:09:10,168 p=6079 u=root |  PLAY [Ensure that all non-node hosts are accessible] **********************************************************************************
2020-01-18 19:09:10,178 p=6079 u=root |  TASK [Gathering Facts] ****************************************************************************************************************
2020-01-18 19:09:10,178 p=6079 u=root |  Saturday 18 January 2020  19:09:10 +0100 (0:00:00.137)       0:00:04.759 ****** 
2020-01-18 19:09:11,688 p=6079 u=root |  ok: [lb-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:11,759 p=6079 u=root |  PLAY [Initialize basic host facts] ****************************************************************************************************
2020-01-18 19:09:11,840 p=6079 u=root |  TASK [openshift_sanitize_inventory : include_tasks] ***********************************************************************************
2020-01-18 19:09:11,840 p=6079 u=root |  Saturday 18 January 2020  19:09:11 +0100 (0:00:01.661)       0:00:06.420 ****** 
2020-01-18 19:09:12,509 p=6079 u=root |  included: /usr/share/ansible/openshift-ansible/roles/openshift_sanitize_inventory/tasks/deprecations.yml for m1-ocp3.iicparis.fr.ibm.com, m2-ocp3.iicparis.fr.ibm.com, m3-ocp3.iicparis.fr.ibm.com, n1-ocp3.iicparis.fr.ibm.com, n2-ocp3.iicparis.fr.ibm.com, n3-ocp3.iicparis.fr.ibm.com, i1-ocp3.iicparis.fr.ibm.com, i2-ocp3.iicparis.fr.ibm.com, i3-ocp3.iicparis.fr.ibm.com, lb-ocp3.iicparis.fr.ibm.com
2020-01-18 19:09:12,656 p=6079 u=root |  TASK [openshift_sanitize_inventory : Check for usage of deprecated variables] *********************************************************
2020-01-18 19:09:12,657 p=6079 u=root |  Saturday 18 January 2020  19:09:12 +0100 (0:00:00.816)       0:00:07.237 ****** 
2020-01-18 19:09:12,918 p=6079 u=root |  ok: [m1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:12,965 p=6079 u=root |  ok: [m3-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,008 p=6079 u=root |  ok: [m2-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,055 p=6079 u=root |  ok: [n1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,091 p=6079 u=root |  ok: [n2-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,092 p=6079 u=root |  ok: [n3-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,093 p=6079 u=root |  ok: [i1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,102 p=6079 u=root |  ok: [i2-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,159 p=6079 u=root |  ok: [i3-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,167 p=6079 u=root |  ok: [lb-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,198 p=6079 u=root |  TASK [openshift_sanitize_inventory : debug] *******************************************************************************************
2020-01-18 19:09:13,199 p=6079 u=root |  Saturday 18 January 2020  19:09:13 +0100 (0:00:00.541)       0:00:07.779 ****** 
2020-01-18 19:09:13,245 p=6079 u=root |  skipping: [m1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,287 p=6079 u=root |  skipping: [m2-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,323 p=6079 u=root |  skipping: [m3-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,357 p=6079 u=root |  skipping: [n1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,393 p=6079 u=root |  skipping: [n2-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,426 p=6079 u=root |  skipping: [n3-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,460 p=6079 u=root |  skipping: [i1-ocp3.iicparis.fr.ibm.com]
2020-01-18 19:09:13,493 p=6079 u=root |  skipping: [i2-ocp3.iicparis.fr.ibm.com]
